run,best_values,params_0,params_1
0,1.2014086397338195e-90,-9.265063533404856e-46,-5.856574228621495e-46
1,5.328071255673884e-180,2.163728810578421e-90,-8.039582638089964e-91
2,4.18023736813728e-263,-4.48387277511502e-132,-4.658031624834156e-132
3,0.0,1.4072519954145437e-162,7.662075730730805e-163
4,0.0,1.4072519954145437e-162,7.662075730730805e-163
5,0.0,1.4072519954145437e-162,7.662075730730805e-163
6,0.0,1.4072519954145437e-162,7.662075730730805e-163
7,0.0,1.4072519954145437e-162,7.662075730730805e-163
8,0.0,1.4072519954145437e-162,7.662075730730805e-163
9,0.0,1.4072519954145437e-162,7.662075730730805e-163
